Campaign,Campaign Type,Campaign Status,Campaign Daily Budget,Bid Strategy Type,Languages
TQ | Pesquisa | Projetos de Engenharia,Search,Paused,45.00,Manual CPC,Portuguese
TQ | Pesquisa | Indústria Conectada,Search,Paused,40.00,Manual CPC,Portuguese
TQ | Pesquisa | Termos Amplos,Search,Paused,15.00,Manual CPC,Portuguese
